,date,close,open,low,high,volume
186,2020-09-25 06-PM,10722.9309418,10693.74369517,10692.90559928,10737.92269589,167960.55177668
187,2020-09-25 06-PM,10701.97522997,10727.70739583,10690.15951241,10728.40659413,197790.39401343
188,2020-09-25 07-PM,10704.54730987,10702.80172519,10685.23689361,10717.53485462,99234.83492021
189,2020-09-25 07-PM,10718.01681833,10704.54730988,10681.91796538,10723.17084986,90855.58304366
190,2020-09-25 08-PM,10743.51359163,10718.01681832,10715.83765585,10744.19081788,202339.25743764
191,2020-09-25 08-PM,10706.66542274,10743.99999999,10705.16543666,10747.00010677,205933.60920139
192,2020-09-25 09-PM,10730.54239626,10706.66542276,10704.42499487,10730.54239626,83880.36350001
193,2020-09-25 09-PM,10743.81877305,10731.51745019,10726.72627505,10744.1,83724.31546123
194,2020-09-25 10-PM,10714.61503672,10743.96619764,10690.1543617,10747.3853004,35652.52897275
195,2020-09-25 10-PM,10681.2404984,10707.40804059,10667.92636081,10723.68525997,211716.01875616
196,2020-09-25 11-PM,10670.77939367,10681.2404984,10651.79282471,10694.15823804,257683.68098123
197,2020-09-25 11-PM,10684.59556386,10670.77939367,10661.22890421,10687.29999997,60768.0788629
198,2020-09-26 12-AM,10670.3666912,10684.06137397,10663.40875923,10703.99999999,90555.42000656
199,2020-09-26 12-AM,10648.10319322,10670.3666912,10648.10319322,10678.01038639,42162.72822405
200,2020-09-26 01-AM,10665.16545177,10648.17414184,10646.64052979,10685.04540864,229589.59621646
201,2020-09-26 01-AM,10687.99849685,10666.19889555,10666.19889555,10696.0764456,122847.20523375
202,2020-09-26 02-AM,10691.37668788,10689.90427075,10676.52114928,10694.15072597,164117.68877201
203,2020-09-26 02-AM,10707.0866835,10692.44694792,10688.95943448,10721.26125853,228028.43557214
204,2020-09-26 03-AM,10722.86257314,10708.07097496,10703.38726136,10726.47752784,217275.23648063
205,2020-09-26 03-AM,10703.34706598,10723.53006398,10703.34706598,10745.0,205683.98375435
206,2020-09-26 04-AM,10693.5956438,10703.34706598,10689.78113034,10711.9,102119.33019514
207,2020-09-26 04-AM,10733.81858145,10693.59564381,10693.59564381,10733.81858145,124012.28324166
208,2020-09-26 05-AM,10731.14245961,10735.22390995,10718.63778531,10741.89985295,367928.72156748
209,2020-09-26 05-AM,10727.4563848,10729.78559745,10704.17000001,10819.59126584,862441.78840423
210,2020-09-26 06-AM,10764.79597729,10727.4563848,10720.1494712,10764.79597729,217374.63625411
211,2020-09-26 06-AM,10734.86114948,10764.7959773,10729.21109759,10764.7959773,92605.39163565
212,2020-09-26 07-AM,10720.38005977,10734.99999999,10710.00000001,10738.52307937,175317.79048232
213,2020-09-26 07-AM,10706.92928878,10722.05405134,10691.42981135,10723.33854353,207209.22288211
214,2020-09-26 08-AM,10690.98155592,10706.49120636,10690.44700813,10712.08072261,130625.40875193
215,2020-09-26 08-AM,10689.51352681,10690.98155593,10666.28646661,10699.18745637,136828.64534631
216,2020-09-26 09-AM,10687.15933356,10686.86589181,10673.26230396,10696.41425013,147285.76839329
217,2020-09-26 09-AM,10692.96396693,10685.51680569,10683.33508655,10708.63150672,52272.25925298
218,2020-09-26 10-AM,10681.58002694,10692.96396694,10664.04706413,10700.00000001,344530.21178597
219,2020-09-26 10-AM,10721.4,10682.64829655,10682.64829655,10726.01102319,104753.03078339
220,2020-09-26 11-AM,10715.48324229,10720.09049845,10708.94426228,10725.37745186,198877.48710631
221,2020-09-26 11-AM,10704.21481556,10715.4832423,10695.16101104,10715.5,49723.98635048
222,2020-09-26 12-PM,10691.1950343,10702.40325838,10676.71722218,10704.90488198,123605.44251736
223,2020-09-26 12-PM,10687.46071726,10686.55800106,10664.46380002,10692.27182576,101786.9277033
224,2020-09-26 01-PM,10686.69159713,10687.46071725,10670.50498087,10697.0249941,82308.00733199
225,2020-09-26 01-PM,10672.39137548,10686.69159713,10672.39137548,10694.65947082,127233.23197782
226,2020-09-26 02-PM,10724.39146394,10671.33292814,10666.34223397,10724.39146395,83664.15856727
227,2020-09-26 02-PM,10708.0884613,10724.39146395,10706.9175714,10727.0,75915.03543671
228,2020-09-26 03-PM,10715.22753994,10707.55304676,10702.47159736,10718.83796058,117671.88896057
229,2020-09-26 03-PM,10719.5075469,10715.22753993,10712.64543075,10739.42735465,78272.47896995
230,2020-09-26 04-PM,10712.37160497,10719.23950257,10682.97906677,10719.23950258,95679.04449632
231,2020-09-26 04-PM,10746.46268818,10712.37160497,10705.25603471,10746.4626882,83080.96719141
232,2020-09-26 05-PM,10733.21018168,10746.99999999,10715.63916966,10747.0,107502.30139043
233,2020-09-26 05-PM,10743.03615871,10733.21018167,10721.84488683,10744.55536658,63632.21718209
234,2020-09-26 06-PM,10738.49999999,10741.15014256,10722.43779167,10770.05469915,208676.18778067
235,2020-09-26 06-PM,10725.80105785,10738.49999999,10722.67806413,10739.31313069,20154.97551217
236,2020-09-26 07-PM,10721.72727689,10728.25718552,10706.53116609,10728.25718553,22948.15852219
237,2020-09-26 07-PM,10716.44953352,10721.72727688,10707.68753467,10723.96382725,45195.21793048
238,2020-09-26 08-PM,10705.88915744,10716.44953352,10702.8718386,10724.50334653,32577.27187611
239,2020-09-26 08-PM,10715.77497439,10705.88915743,10705.88915743,10718.50825914,26313.81804824
240,2020-09-26 09-PM,10727.69498198,10715.77497439,10715.77497439,10734.93450511,43453.86276092
241,2020-09-26 09-PM,10716.77817498,10727.69498197,10715.83266442,10750.0,116808.3585041
242,2020-09-26 10-PM,10726.47798911,10713.42124182,10704.16837611,10739.07927356,64212.81179699
243,2020-09-26 10-PM,10730.04133874,10720.15877064,10719.57643742,10741.74097734,94866.98682935
244,2020-09-26 11-PM,10736.86633246,10730.04133874,10730.04133874,10748.45414441,75439.10888099
245,2020-09-26 11-PM,10723.08064514,10736.86633246,10722.43598941,10748.33507658,130754.49321869
246,2020-09-27 12-AM,10754.71888051,10724.85215314,10720.0,10757.29363725,48127.72297525
247,2020-09-27 12-AM,10771.29999999,10751.32766033,10746.23968584,10771.3,232418.21881031
248,2020-09-27 01-AM,10785.93570722,10771.29999999,10771.29999999,10796.94756556,153583.7951117
249,2020-09-27 01-AM,10769.26341926,10785.93570722,10763.97728072,10789.57135167,147979.4628874
250,2020-09-27 02-AM,10761.39978693,10768.10531916,10759.38877827,10779.01367645,29832.05064442
251,2020-09-27 02-AM,10775.79278535,10765.99408283,10765.99408282,10783.07982541,22389.04536729
252,2020-09-27 03-AM,10775.40114299,10781.6339732,10766.22552986,10783.25139388,19555.86074779
253,2020-09-27 03-AM,10779.92204116,10777.55747747,10762.47907956,10785.90598149,36667.95690227
254,2020-09-27 04-AM,10766.89242846,10779.92204117,10766.89242846,10783.65301041,42133.85778042
255,2020-09-27 04-AM,10780.36728899,10766.89242846,10766.89242846,10790.0,64287.81875324
256,2020-09-27 05-AM,10775.0,10781.30690639,10763.3581649,10784.46495443,20638.74194005
257,2020-09-27 05-AM,10775.0,10781.00981979,10770.40991845,10788.26667668,63143.04019253
258,2020-09-27 06-AM,10739.98466435,10778.40669603,10729.54125685,10780.0099099,150049.83638794
